stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
surrogate,0.3,0.4,extratrees,8,20,0.0985492472353966,0.0457278514139668,0.09047203175089769,-0.07818660720465244,,,1.0,,
surrogate,0.3,0.4,mechanism_aware_reference,8,20,0.16971833703915407,0.0455047044112038,0.14479121582916604,0.13708239186085058,,,,,
surrogate,0.3,0.6,plugin,8,22,0.10217497247825895,0.030643063075210995,0.17534288907134196,-0.10217497247825895,,,,,
surrogate,0.3,0.6,shared_mle,8,22,0.10194766702045172,0.02471494537392746,0.08138693486986227,0.06839060230957196,8,0.36363636363636365,,,
surrogate,0.3,0.6,extratrees,8,22,0.0709198700938912,0.020413883519064445,0.08187484613887577,-0.06741405685657204,,,1.0,,
surrogate,0.3,0.6,qwen_thinking,8,66,0.157473833016056,0.024580544947099228,0.16213609115532174,0.04162758533000261,,,,66,1.0
surrogate,0.3,0.6,qwen_nonthinking,8,66,0.3473250834089098,0.07238188317239652,0.26558715931136495,-0.26644515722963796,,,,66,1.0
surrogate,0.3,0.6,mechanism_aware_reference,8,22,0.12404120219767728,0.03676176560579413,0.10382024407907647,0.1213134710408092,,,,,
surrogate,0.4,0.4,plugin,8,14,0.19717102893609134,0.05762555646668745,0.25158410886015825,-0.19717102893609134,,,,,
surrogate,0.4,0.4,shared_mle,8,14,0.15299261404376355,0.03488774770636909,0.11864136911515327,0.0848951655429321,0,0.0,,,
surrogate,0.4,0.4,extratrees,8,14,0.09920152467043399,0.045583254072082836,0.09213494683429621,-0.07925619307580266,,,1.0,,
surrogate,0.4,0.4,mechanism_aware_reference,8,14,0.16955299759253684,0.04551792953689571,0.14476052396471806,0.13691705241423335,,,,,
surrogate,0.4,0.6,plugin,8,22,0.10226789602387898,0.030278670491517664,0.1752129337697665,-0.10226789602387898,,,,,
surrogate,0.4,0.6,shared_mle,8,22,0.07074644820128607,0.022991660201754263,0.06109182529050538,0.03718938349040633,3,0.13636363636363635,,,
surrogate,0.4,0.6,extratrees,8,22,0.07078261998707581,0.019521135274501365,0.08172222278629745,-0.06732196061883175,,,1.0,,
surrogate,0.4,0.6,qwen_thinking,8,66,0.1674771976596232,0.02636678941597961,0.17137163355544616,0.03423805313980652,,,,66,1.0
surrogate,0.4,0.6,qwen_nonthinking,8,66,0.3725915726132887,0.07143937242740449,0.26796032641340395,-0.29291737945186014,,,,66,1.0
surrogate,0.4,0.6,mechanism_aware_reference,8,22,0.12449775876869053,0.03674029009677405,0.10383839898873082,0.12177002761182243,,,,,
surrogate,0.5,0.4,plugin,8,8,0.19746549668438151,0.057562619519058826,0.2516577257972308,-0.19746549668438151,,,,,
surrogate,0.5,0.4,shared_mle,8,8,0.14565355096153512,0.03146870417680931,0.11476140443650165,0.07755610246070367,0,0.0,,,
surrogate,0.5,0.4,extratrees,8,8,0.0991789557241891,0.04558426647534482,0.09207343579904298,-0.07926047024857298,,,1.0,,
surrogate,0.5,0.4,mechanism_aware_reference,8,8,0.16942387763972844,0.04550539418549199,0.14449672169527022,0.13678793246142495,,,,,
surrogate,0.5,0.6,plugin,8,18,0.1027044690641163,0.030184393887688954,0.17550665795760154,-0.1027044690641163,,,,,
surrogate,0.5,0.6,shared_mle,8,18,0.08103761813326052,0.025809604191695704,0.06667986453793792,0.04748055342238078,3,0.16666666666666666,,,
surrogate,0.5,0.6,extratrees,8,18,0.07114613047034025,0.019816807953116845,0.0820945983221012,-0.06776820739965157,,,1.0,,
surrogate,0.5,0.6,qwen_thinking,8,54,0.15257153817030034,0.02979137927233597,0.1694880524105882,-0.014736676652978502,,,,54,1.0
surrogate,0.5,0.6,qwen_nonthinking,8,54,0.36667229352748565,0.06873311780711332,0.26297879430507487,-0.2513257127851935,,,,54,1.0
surrogate,0.5,0.6,mechanism_aware_reference,8,18,0.12420742702031716,0.036738779828748,0.10362813122466052,0.12147969586344906,,,,,
synthetic,0.025,0.4,plugin,8,24,0.1795925944720148,0.054943067547154854,0.1946902801735783,-0.1793094158651368,,,,,
synthetic,0.025,0.4,shared_mle,8,24,0.09652244181534177,0.02109723831890166,0.09122890542974098,0.03181003795890654,0,0.0,,,
synthetic,0.025,0.4,extratrees,8,24,0.061791139323281695,0.017754474420287842,0.03600464712745509,-0.04329153484599751,,,1.0,,
synthetic,0.025,0.4,mechanism_aware_reference,8,24,0.11546014418191189,0.026226971934863078,0.10839429547571641,0.0762675034862455,,,,,
