stratum,budget,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.05,H,shared_mle,8,24,0.07446809396357468,0.013972729213311103,0.03750154654033709,0.07153553800488024,3,0.125,,,
real,0.05,H,extratrees,8,24,0.04645071196868921,0.010397337115002063,0.0316482676417912,0.025100780004135438,,,1.0,,
real,0.05,H,qwen_thinking,8,72,0.17726228454788973,0.027200901854770355,0.09313727782282144,0.08003238883463916,,,,72,1.0
real,0.05,H,qwen_nonthinking,8,72,0.20929446787997907,0.03788621652047376,0.11533769308249711,0.015920792278377192,,,,72,1.0
real,0.05,B,plugin,8,24,0.1950649953803601,0.045408817954126254,0.09559069463692005,-0.1950649953803601,,,,,
real,0.05,B,shared_mle,8,24,0.06338808408464472,0.019297995718687462,0.03698015077009019,-0.0133688516052938,4,0.16666666666666666,,,
real,0.05,B,extratrees,8,24,0.07352522521176898,0.012585845538294579,0.05112048901289255,0.052149471277282144,,,1.0,,
real,0.05,B,qwen_thinking,8,72,0.2358321411006377,0.030537220394551905,0.12995155573002434,-0.05528960069729153,,,,72,1.0
real,0.05,B,qwen_nonthinking,8,72,0.40945593638297373,0.06274354273107745,0.37097885533411734,0.36380584783393277,,,,72,1.0
real,0.1,R,plugin,8,24,0.020885430841228105,0.00888307901103767,0.012999595904839855,-0.004384554853122316,,,,,
real,0.1,R,shared_mle,8,24,0.023429496698868648,0.009920118017528094,0.013931038447911447,0.0074456195221299344,1,0.041666666666666664,,,
real,0.1,R,extratrees,8,24,0.030282264018821684,0.008924477934820168,0.019179169102198912,0.007876570005218079,,,0.9166666666666666,,
real,0.1,R,qwen_thinking,8,72,0.015185324386758629,0.002994947422459271,0.01156563570823244,-0.01156944320711664,,,,72,1.0
real,0.1,R,qwen_nonthinking,8,72,0.4442456533160927,0.049169805977462226,0.3251173918723414,0.4439902367228217,,,,72,1.0
real,0.1,S1,plugin,8,24,0.060717355683300965,0.018582336764234594,0.028596028076869423,0.05368536039287154,,,,,
real,0.1,S1,shared_mle,8,24,0.06707079748640332,0.019245949765469318,0.029463516777277245,0.06003999288816883,0,0.0,,,
real,0.1,S1,extratrees,8,24,0.07089799073144357,0.03293239190346294,0.038319429998548156,0.06358428788642805,,,1.0,,
real,0.1,S1,qwen_thinking,8,72,0.05951549536068127,0.024897680684431756,0.029640920855807794,0.056232678666803114,,,,72,1.0
real,0.1,S1,qwen_nonthinking,8,72,0.46129482003168976,0.04216136820010255,0.35457280128833213,0.461209681167266,,,,72,1.0
real,0.1,H,plugin,8,24,0.06660501268737784,0.016809484507913842,0.05727753505680255,-0.061940567756183645,,,,,
real,0.1,H,shared_mle,8,24,0.07495717554517753,0.024228332344971553,0.037837406913245775,0.07442110242220296,5,0.20833333333333334,,,
real,0.1,H,extratrees,8,24,0.04105505843947925,0.009220368124677608,0.030835062929045667,0.018829897513337027,,,1.0,,
real,0.1,H,qwen_thinking,8,72,0.16456675284990552,0.01844696172758388,0.09360770959148698,0.06938959944993255,,,,72,1.0
real,0.1,H,qwen_nonthinking,8,72,0.2416531121153421,0.02450540146760364,0.1441727453517306,0.09346245894504385,,,,72,1.0
real,0.1,B,plugin,8,24,0.1525193936090973,0.03578877655618219,0.07860722476889923,-0.1525193936090973,,,,,
real,0.1,B,shared_mle,8,24,0.057957232100677214,0.017342288185998908,0.03535031470064474,-0.023746367079386328,4,0.16666666666666666,,,
real,0.1,B,extratrees,8,24,0.05536584152694711,0.008914507038199576,0.041130348547729484,0.01924869212531088,,,1.0,,
real,0.1,B,qwen_thinking,8,72,0.19346760999744445,0.032922184503676,0.10285983897266054,-0.0378137299644624,,,,72,1.0
real,0.1,B,qwen_nonthinking,8,72,0.4933866569064842,0.06137933261155739,0.43047943708263814,0.43664718116726603,,,,72,1.0
real,0.2,R,plugin,8,24,0.010808834391686685,0.0036882457340588126,0.006175967264705271,-0.004015451086372548,,,,,
real,0.2,R,shared_mle,8,24,0.01575814578160043,0.00300359346606248,0.009485159964919025,0.005425856276835573,0,0.0,,,
real,0.2,R,extratrees,8,24,0.01913720090287268,0.006934982440525692,0.010680710385400647,0.006674918582827024,,,0.875,,
real,0.2,R,qwen_thinking,8,72,0.012103917578389117,0.004017083656507039,0.007250690608116714,0.0013807842700115209,,,,72,1.0
real,0.2,R,qwen_nonthinking,8,72,0.42650579218051643,0.06181289872822593,0.3333827102766623,0.42619857005615497,,,,72,1.0
real,0.2,S1,plugin,8,24,0.057492970211626734,0.02029308369573357,0.02663820689359053,0.056974599534291695,,,,,
real,0.2,S1,shared_mle,8,24,0.0682954883885081,0.02097028674627632,0.02994379244417271,0.0682954883885081,1,0.041666666666666664,,,
real,0.2,S1,extratrees,8,24,0.05196508811228749,0.01843771692703179,0.027541095050133076,0.04625211252949449,,,1.0,,
real,0.2,S1,qwen_thinking,8,72,0.053389786096148945,0.018999619166164765,0.025552947734389587,0.053024173629092675,,,,72,1.0
