group,arm,method,sources,sources_with_valid,planned_answers,completed_answers,valid_answers,validity_of_completed,MAE_2,ProfileMAE,signed_rho_2,draw_clustered_MCSE_2,skill_vs_plugin
all24,H,et,24,24,72,72,72,1.0,0.035347336585420414,0.03445117731497576,-0.015387231442898506,0.0017120321467958544,0.5960844429693408
all24,H,qwen_thinking,24,24,216,216,216,1.0,0.1536009063167426,0.12873509401194141,0.020806949974369993,0.007048266040542671,-0.7552042566322053
all24,H,qwen_nonthinking,24,24,216,216,216,1.0,0.24646762581187642,0.1830459201445972,-0.05557752288030671,0.012698010348497378,-1.8163963111973205
all24,H,deepseek_flash,24,24,72,72,72,1.0,0.09333854379731399,0.06422554297310222,0.04154997965261179,0.010002290095055337,-0.06658361144734748
all24,H,gpt_6_sol,24,24,216,216,216,1.0,0.04839379028054408,0.03116978402105325,0.007250717860434022,0.003384623520938102,0.4470020475021209
all24,H,gpt_6_sol_tools,24,24,216,216,216,1.0,0.05192973025738073,0.0349538423993588,0.011942418786359951,0.00343470217392818,0.40659670714728224
all24,B,plugin,24,24,72,72,72,1.0,0.29460596880605927,0.19112281165798187,-0.29460596880605927,0.0014774030329762864,0.0
all24,B,median,24,24,72,72,72,1.0,0.28459201998378775,0.1899401028585516,-0.0957615112965225,3.3716963797598634e-18,0.03399099095939828
all24,B,mle,24,24,72,72,72,1.0,0.08566093812901432,0.07798971227707246,-0.045025033101874445,0.004796632982536872,0.7092355647912708
all24,B,et,24,24,72,72,72,1.0,0.06995152876794693,0.06514418513938922,-0.023197128523836676,0.0030260046861392813,0.7625590240026793
all24,B,qwen_thinking,24,24,216,216,216,1.0,0.28572104969196743,0.21366421420409254,-0.08415083806928553,0.012315378452799378,0.030158652759478932
all24,B,qwen_nonthinking,24,24,216,216,216,1.0,0.4031008207129136,0.388563895610869,0.32857895860117475,0.014730504376432084,-0.3682710582767488
all24,B,deepseek_flash,24,24,72,72,72,1.0,0.21759449471847433,0.15596848978104286,-0.028161787141417826,0.023151665033828598,0.2614050027556706
all24,B,gpt_6_sol,24,24,216,216,216,1.0,0.11754665753661664,0.09119563634481642,0.01106414378635995,0.00609073689778478,0.6010038153232453
all24,B,gpt_6_sol_tools,24,24,216,216,216,1.0,0.11858329372414626,0.08908239129302475,0.028884236378952544,0.006387819907250839,0.5974850943966776
