case_id,strategy,group_id,plugin_rho_k2,plugin_rho_k3,plugin_rho_k4,plugin_rho_k5,hajek_rho_k2,hajek_rho_k3,hajek_rho_k4,hajek_rho_k5,true_rho_k2,occmle_rho_k2,true_rho_k3,occmle_rho_k3,true_rho_k4,occmle_rho_k4,true_rho_k5,occmle_rho_k5
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_primaryschool,0.8444444444444444,0.12222222222222222,0.044444444444444446,0.0,0.7738050575978626,0.06384609599875657,0.010114218821081529,0.0,0.5481543825898761,0.8542873057808433,0.0602380666105566,0.1280845453217196,0.0209210051701334,0.0475611735691259,0.0,0.0
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_primaryschool,0.603448275862069,0.06896551724137931,0.034482758620689655,0.0,0.24497656350063396,0.008516433075281866,0.0018775398121099502,0.0,0.5481543825898761,0.8445899759003868,0.0602380666105566,0.1317424444562358,0.0209210051701334,0.0758603290763047,0.0,1.3876421157999429e-94
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_primaryschool,0.037549407114624504,0.0,0.0,0.0,0.019067438080566428,0.0,0.0,0.0,0.5481543825898761,0.2184387730910905,0.0602380666105566,0.0017103246293739,0.0209210051701334,0.00030679036318,0.0,8.454147035099753e-05
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_primaryschool,0.009283819628647215,0.0,0.0,0.0,0.0047803323469155475,0.0,0.0,0.0,0.5481543825898761,0.2515729674234283,0.0602380666105566,0.1479496306416609,0.0209210051701334,0.0877028628690937,0.0,0.0407366598126141
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,real::sp_primaryschool,0.0171990171990172,0.0,0.0,0.0,0.007496319533832673,0.0,0.0,0.0,0.5481543825898761,0.0891594273036952,0.0602380666105566,2.962254218991194e-09,0.0209210051701334,1.0549156474212868e-11,0.0,3.232519816285819e-13
dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,dar::dcsbm::n1500::f0,0.48415765069551775,0.14296754250386398,0.0258887171561051,0.002704791344667697,0.29553321679449857,0.060795326843124484,0.00861252841025898,0.000659223103525905,0.337086166536618,0.707336137777552,0.0768030319919741,0.3241099494952115,0.012930554007357,0.0856913066617956,0.0010032326385018,0.0143628221316026
dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500,node_panel_full_history,dar::dcsbm::n1500::f0,0.34439359267734554,0.06636155606407322,0.010297482837528604,0.002288329519450801,0.18115601730130218,0.02358338733093891,0.0026730770450105754,0.00043576870563107533,0.337086166536618,0.6399018993019535,0.0768030319919741,0.208625733130159,0.012930554007357,0.0449862782281053,0.0010032326385018,0.0223670272371872
dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800,recent_history_k20,dar::dcsbm::n1500::f0,0.03350970017636684,0.001763668430335097,0.0,0.0,0.014256525631901561,0.00048210473151357933,0.0,0.0,0.337086166536618,0.3765278248847714,0.0768030319919741,0.0632172903981665,0.012930554007357,0.0084415340428659,0.0010032326385018,0.0010225136910409
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,time_agnostic_t,dar::dcsbm::n1500::f0,0.026277372262773723,0.0,0.0,0.0,0.013426352507568776,0.0,0.0,0.0,0.337086166536618,0.3109386663917106,0.0768030319919741,0.0702266966444984,0.012930554007357,0.0235845867365021,0.0010032326385018,0.0076745330515538
dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800,time_respecting,dar::dcsbm::n1500::f0,0.015968063872255488,0.0,0.0,0.0,0.008162116521249648,0.0,0.0,0.0,0.337086166536618,0.1352925942859418,0.0768030319919741,0.0014546782508888,0.012930554007357,0.0007646874483126,0.0010032326385018,0.0003732481238468
dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,dar::dcsbm::n1500::f0,0.9644194756554307,0.8726591760299626,0.7762172284644194,0.6741573033707865,0.8672915208354103,0.7006193404621115,0.5833262490788277,0.4937733441918547,0.8559498956158664,0.9968842245455596,0.7306889352818372,0.982549133088451,0.6200417536534447,0.982549133088451,0.5278854756934089,0.982549133088451
dar__dcsbm__n1500__f0__a0.9__c0.15|node_panel_full_history|ss0|b2500,node_panel_full_history,dar::dcsbm::n1500::f0,0.8769230769230769,0.7507692307692307,0.64,0.5476923076923077,0.6159320055972305,0.44304169386772346,0.3385124877208201,0.2791952700232209,0.8559498956158664,0.9793999558496288,0.7306889352818372,0.9583169733546816,0.6200417536534447,0.9583169733546816,0.5278854756934089,0.9583169733546816
dar__dcsbm__n1500__f0__a0.9__c0.15|recent_history_k20|ws0|b800,recent_history_k20,dar::dcsbm::n1500::f0,0.15306122448979592,0.02857142857142857,0.004081632653061225,0.0,0.0757769532078891,0.009594705420176984,0.0012043563288925082,0.0,0.8559498956158664,0.7672585803745989,0.7306889352818372,0.542524691076639,0.6200417536534447,0.4584174685559755,0.5278854756934089,0.3101089756683888
