substrate,family,rho_target,rep,hub_bias,rho_headline,strategy,walk_seed,budget,n_observed_events,n_restarts,unique_nodes,unique_edges,edge_revisit_rate,deg_mean_visited,deg_max_visited,discovery_rate_first_half,discovery_rate_second_half,return_time_steps_mean,walk_rho_plugin,share_edges_multi_observed,walk_rho_conditional,mean_windows_per_observed_edge,mean_window_gap_revisits,windows_covered_frac,step_dt_mean,step_dt_median
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,1,200,199,1,152,161,0.19095477386934678,9.19078947368421,15.0,0.7272727272727273,0.89,10.368421052631579,0.012422360248447204,0.19875776397515527,0.0625,1.0124223602484472,1.0,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,1,400,399,1,274,317,0.20551378446115287,8.945255474452555,16.0,0.8090452261306532,0.78,35.01219512195122,0.006309148264984227,0.19873817034700317,0.031746031746031744,1.0063091482649842,1.0,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,1,800,799,1,450,607,0.2403003754693367,8.811111111111112,16.0,0.7944862155388471,0.725,84.07291666666667,0.009884678747940691,0.23887973640856672,0.041379310344827586,1.0115321252059308,2.0,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,1,1600,1599,1,699,1163,0.2726704190118824,8.545064377682403,16.0,0.7596996245306633,0.695,251.9816513761468,0.012037833190025795,0.2837489251934652,0.04242424242424243,1.0128976784178847,2.0,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,1,3200,3199,1,891,1966,0.3854329477961863,8.258136924803592,16.0,0.7273295809881176,0.501875,587.8532035685321,0.013224821973550356,0.4140386571719227,0.03194103194103194,1.013733468972533,1.8846153846153846,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,0,50,37,13,39,27,0.2702702702702703,8.743589743589743,13.0,0.8333333333333334,0.631578947368421,3.9,0.0,0.3333333333333333,0.0,1.0,,0.6,0.13168499430643452,0.06594381362949964
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,0,100,76,24,78,56,0.26315789473684215,8.717948717948717,14.0,0.7368421052631579,0.7368421052631579,2.45,0.0,0.2857142857142857,0.0,1.0,,0.6,0.13509727092109006,0.06441672372694446
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,0,200,148,52,140,99,0.33108108108108103,8.535714285714286,14.0,0.7297297297297297,0.6081081081081081,9.612244897959183,0.0,0.32323232323232326,0.0,1.0,,0.8,0.12852728709064135,0.06479665447797184
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,0,400,293,107,261,189,0.3549488054607508,8.513409961685824,15.0,0.6643835616438356,0.6258503401360545,28.60576923076923,0.005291005291005291,0.37037037037037035,0.014285714285714285,1.0052910052910053,2.0,1.0,0.13209937634949928,0.06288963382438928
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,0,800,598,202,442,351,0.4130434782608695,8.28054298642534,15.0,0.6488294314381271,0.5250836120401338,52.39676113360324,0.002849002849002849,0.3561253561253561,0.008,1.002849002849003,2.0,1.0,0.12568621864023516,0.05390124502297383
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,0,1600,1207,393,668,618,0.48798674399337205,8.244011976047904,16.0,0.5870646766169154,0.4370860927152318,134.37691001697792,0.011326860841423949,0.441747572815534,0.02564102564102564,1.0113268608414239,1.4285714285714286,1.0,0.12904150502489584,0.0534166362811761
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,0,3200,2430,770,885,1036,0.5736625514403293,8.093785310734463,16.0,0.5094650205761316,0.3432098765432099,308.9060258249641,0.012548262548262547,0.5019305019305019,0.025,1.0125482625482625,1.4615384615384615,1.0,0.13429118129192144,0.05684851402848179
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,1,50,38,12,38,26,0.3157894736842105,8.868421052631579,15.0,0.6842105263157895,0.6842105263157895,1.0,0.0,0.3076923076923077,0.0,1.0,,0.8,0.1054848983725311,0.030636312955129696
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,1,100,76,24,76,54,0.2894736842105263,8.697368421052632,15.0,0.6842105263157895,0.7368421052631579,1.0,0.0,0.3148148148148148,0.0,1.0,,1.0,0.14539525381518298,0.042976697356661264
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,1,200,151,49,148,109,0.2781456953642384,8.64864864864865,16.0,0.7066666666666667,0.7368421052631579,3.3333333333333335,0.0,0.29357798165137616,0.0,1.0,,1.0,0.14110881198552158,0.05805414072493498
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,1,400,308,92,263,204,0.33766233766233766,8.779467680608365,16.0,0.7207792207792207,0.6038961038961039,16.08653846153846,0.004901960784313725,0.3382352941176471,0.014492753623188406,1.0049019607843137,1.0,1.0,0.12921320076345275,0.052201378123260644
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,1,800,612,188,455,374,0.38888888888888884,8.452747252747253,16.0,0.6633986928104575,0.5588235294117647,54.78151260504202,0.0053475935828877,0.3582887700534759,0.014925373134328358,1.0053475935828877,2.0,1.0,0.13370327392832637,0.05703680797247662
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,1,1600,1212,388,683,632,0.47854785478547857,8.345534407027818,16.0,0.6105610561056105,0.43234323432343236,122.38620689655173,0.007911392405063292,0.43354430379746833,0.01824817518248175,1.0079113924050633,2.8,1.0,0.13650312479178164,0.05653282541364796
er,er_fam0,0.056968863504984,1,False,0.057,time_respecting,1,3200,2461,739,883,1035,0.5794392523364487,8.134767836919591,16.0,0.5178861788617887,0.3233143785540211,290.6178120617111,0.00966183574879227,0.4985507246376812,0.01937984496124031,1.0096618357487923,2.3,1.0,0.13057819362439843,0.052891014732857844
er,er_fam0,0.056968863504984,1,False,0.057,recency_biased,0,50,42,8,38,30,0.2857142857142857,8.631578947368421,13.0,0.6666666666666666,0.7619047619047619,1.0,0.0,0.3333333333333333,0.0,1.0,,0.8,0.08140644415127782,0.03480922028538935
