stratum,arm,config_id,mock,source,metric,value,MCSE,valid_fraction,limit_fraction,technical_failure_fraction,replacement_fraction,empty_fraction
real,H,qwen_nonthinking,False,snap_mathoverflow,ProfileAE,0.056314439293976476,0.022035906713423446,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,sp_highschool2013,ProfileAE,0.11989666666666667,0.006375011333123769,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,sp_hospital,ProfileAE,0.12015227977758268,0.01592203436968205,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,copenhagen_bluetooth,delta_AE2,0.05868292035256126,0.03889964154420043,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,snap_collegemsg,delta_AE2,0.16691714007508712,0.05158371309667665,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,snap_email_eu,delta_AE2,-0.007322301252230519,0.017005623813916012,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0
real,H,qwen_nonthinking,False,snap_mathoverflow,delta_AE2,0.10070788197878816,0.05776139548943244,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,sp_highschool2013,delta_AE2,0.011808744929328593,0.019079533842771456,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,sp_hospital,delta_AE2,-0.003969635383926003,0.03521838186397729,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,copenhagen_bluetooth,delta_ProfileAE,0.04762058188832869,0.011114141486888806,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,snap_collegemsg,delta_ProfileAE,0.07067615377993834,0.019155727824937817,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,snap_email_eu,delta_ProfileAE,0.03312038321850006,0.0047083596491071834,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0
real,H,qwen_nonthinking,False,snap_mathoverflow,delta_ProfileAE,0.03771985201786709,0.021883606677720407,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,sp_highschool2013,delta_ProfileAE,0.032244439431031516,0.008389116350358676,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,sp_hospital,delta_ProfileAE,0.013410156566733512,0.016983898509262685,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,copenhagen_bluetooth,AE2,0.12139212126241668,0.025361695672869205,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_collegemsg,AE2,0.1365285494643108,0.0485079420896168,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_email_eu,AE2,0.13572597609561754,0.02516079190268652,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_mathoverflow,AE2,0.07950885942442525,0.04280802504722279,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_highschool2013,AE2,0.09418710897215536,0.008257320965490462,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_hospital,AE2,0.16126831519556797,0.026825307158816435,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,copenhagen_bluetooth,ProfileAE,0.06999376361959847,0.02123557592433635,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_collegemsg,ProfileAE,0.04405844745605482,0.01448525314734224,1.0,0.0,0.0,0.0,0.0
