stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE
ad_memory,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.07189130766360954,0.008354280856242544,0.07006966739030435,0.01156608964606243,0.020310295241639912,0.009205226780291835,0.03292886793795354,0.01252851725939218
ad_memory,S,qwen_nonthinking,False,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,30,0,0,0,0.0,True,0.10878254099862476,0.02521029955330071,0.09427464940579922,0.01595079569336738,0.05720152857665515,0.024096939213983603,0.057133849953448446,0.013792125574794346
ad_memory,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,H,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.12655961628992984,0.0070606822067503724,0.1117083405061412,0.014587208777671397,0.0017729740378989558,0.007367221516044446,0.038016499678275806,0.014265811132272285
ad_memory,H,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.16477684786800567,0.022981115534314544,0.11918950279181614,0.014429951930886139,0.039990205615974786,0.02502266637629883,0.045497661963950754,0.0157773643388669
ad_memory,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,B,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.4619324147748244,0.04148424075879374,0.3101305758981895,0.018879872118113823,0.32472743662997317,0.04723085293645152,0.20010586512987022,0.027715526927625404
ad_memory,B,qwen_nonthinking,False,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,30,0,0,0,0.0,True,0.39285557763394796,0.032965290742789005,0.266518413952159,0.01877591843563235,0.2556505994890968,0.028229449519189032,0.15649370318383968,0.016834906143431003
